chal1,"""Free""",Take a Selfie with the Bride and Groom,"Upload a selfie with yourself, Duncan, and Zoe!"
chal2,Split Z,"Split the ""Z""","Fill the custom Z&D cups with a beverage. In one sip, drink enough so the top of the liquid lies on the letter Z!"
chal3,Tattoos,Get Matching Tattoos with a Strager,Upload a picture of you and a stranger with matching temporary tattoos!
chal4,Groom Pic,Take an Embarrassing Picture of the Groom,Upload a picture of the groom doing something embarrassing!
chal5,Cornhole,Play Cornhole,Upload a selfie with yourself and your cornhole oopponents!
chal6,Birthday ,Find Someone with the Same Birth Month as You,Upload a selfie with your new birthday twin!
chal7,Learn ,Learn Something from Someone who has/is getting a PhD,"Learn something about their research, upload a picture with yourself and the scholar!"
chal8,Lady/Tramp,Lady and the Tramp a Taco,Upload a selfie with yourself and another person both eating the same taco at the same time!
chal9,First Dance,Recreate Z&D's First Dance,"Find your favorite dance move from Z&D's first dance, recreate it with a friend, upload a picture!"
chal10,Potty Pal,Introduce Yourself to Someone in the Bathroom,Upload a bathroom mirror selfie with your new friend!
chal11,Insta Dance,Dance one of the Pointer Brother's Wedding Moves,Here are some of their instagram videos. Recreate one of the moves and upload a picture!
chal12,Guest Book,Sign the Guest Book,Sign the guest book and upload a selfie with yourself and the entry!
chal13,Accessorize,Dance with an Accessory,Find an object at the venue and use it as an accessory on the dance floor. Upload a selfie with it!
chal14,Tall Guy,Find out How Tall Kendall is,"Find Kendall, ask how tall he is, then upload a selfie with him!"
chal15,Handshake,Create a New Handshake with a Stranger,"Come up with a new handshake with a stranger, upload a picture!"
chal16,Bride Pic,Take a Picture with the Bride,Make sure it is a good one! Then upload the picture!
chal17,Sunset,Advertise the name for Sunset Ranch,Upload a selfie with the sunset
chal18,Worm,Do the Worm,Upload a picture of you attempting the worm on the dance floor!
chal19,Athlete,"Meet a ""Pro"" Athlete","Find someone who had competed at the Olympic trials or US championships, or competed for a US national team. Upload a selfie with yourself and this pro athlete!"
chal20,Slow Down,Slow Dance with a Loved One or Close Friend,Upload a selfie after the dance!
chal21,Bilingual,Learn a New Language,Find someone who speaks a language other than English and learn their favorite phrase in that language. Upload a selfie with this person after!
chal22,Board Game,Tell Zack your Favorite Board Game,"Find Zack and tell him your favorite board game. If he likes it, upload a selfie with Zack!"
chal23,Spider Man,Find out Dani's Favorite Spider Man,Find Dani and ask her about her favorite spiderman. Then upload a selfie with Dani!
chal24,Fun Fact,Tell a Stranger a Fun Fact,"Without them asking for it or introducing yourself, tell a stranger your funnest fact. If they like it, upload a selfie with that stranger"
chal25,Clothes Swap,Swap Clothes with Someone,Swap an article clothing with someone and upload a picture with them!
